first_input,second_input,output,real
vampire,hot spring,Dracula,TRUE
castle,werewolf,Dracula,TRUE
rock,aquarium,stone,TRUE
colossus,colossus,mountain,TRUE
flower,bong,smoke,TRUE
bong,stoner,smoke,TRUE
magic,incense,wizard,TRUE
tsunami,magic,wizard,TRUE
gold,wind,sand,TRUE
cinder,burn,ash,TRUE
burn,princess,ash,TRUE
fire,book,ash,TRUE
vampire,fire,ash,TRUE
vampire,burn,ash,TRUE
fire,burn,ash,TRUE
fire breath,planet,sun,TRUE
gold,star,sun,TRUE
leviathan,flying fish,Poseidon,TRUE
triton,wave,Poseidon,TRUE
earth,triton,Poseidon,TRUE
triton,tide,Poseidon,TRUE
triton,whale,Poseidon,TRUE
mermaid,triton,Poseidon,TRUE
triton,moon,Poseidon,TRUE
hurricane,Zeus,Poseidon,TRUE
triton,kraken,Poseidon,TRUE
park,park,forest,TRUE
Ent,tree,forest,TRUE
dwarf,universe,god,TRUE
prince,fruit,apple,TRUE
cider,alcohol,apple,TRUE
water,love,wave,TRUE
beach,spring break,party,TRUE
t-rex,troll,dinosaur,TRUE
t-rex,forest,dinosaur,TRUE
jungle,t-rex,dinosaur,TRUE
crocodile,t-rex,dinosaur,TRUE
obsidian,t-rex,dinosaur,TRUE
t-rex,dinosaur,dinosaur,TRUE
t-rex,party,dinosaur,TRUE
raptor,t-rex,dinosaur,TRUE
fishbone,fossil,dinosaur,TRUE
tree,brontosaurus,dinosaur,TRUE
meteorite,moon rock,meteor,TRUE
comet,comet,meteor,TRUE
comet,life,meteor,TRUE
alien,rock,meteor,TRUE
alien,meteorite,meteor,TRUE
comet,asteroid,meteor,TRUE
prayer,saint,angel,TRUE
saint,saint,angel,TRUE
saint,seraph,angel,TRUE
seraph,seraph,angel,TRUE
phoenix,seraph,angel,TRUE
soul,phoenix,angel,TRUE
love,volcano,lava,TRUE
candy,volcano,lava,TRUE
Saturn,planet,ring,TRUE
cyclone,Saturn,ring,TRUE
cigar,stone,statue,TRUE
Zeus,rainbow,rain,TRUE
vapor,cloud,rain,TRUE
wish,honey,money,TRUE
paper,banknote,money,TRUE
sun,gold,money,TRUE
gold,crocodile,money,TRUE
bank,rich,money,TRUE
mountain,gold,money,TRUE
rebirth,princess,queen,TRUE
prince,moon,werewolf,TRUE
castle,moon,werewolf,TRUE
rose,dandelion,flower,TRUE
rose,rose,flower,TRUE
garden,bouquet,flower,TRUE
bouquet,bouquet,flower,TRUE
bouquet,rose,flower,TRUE
plant,rose,flower,TRUE
prince,goldfish,prince,TRUE
prince,shark,prince,TRUE
princess,princess,prince,TRUE
love,princess,prince,TRUE
toad,frog,prince,TRUE
beach,prince,prince,TRUE
castle,princess,prince,TRUE
unicorn,wall,unicorn,TRUE
unicorn,unicorn,unicorn,TRUE
penguin,iceberg,Titanic,TRUE
kraken,tsunami,Titanic,TRUE
sinking,iceberg,Titanic,TRUE
kraken,sinking,Titanic,TRUE
dandelion wine,dandelion,dandelion,TRUE
monster,monster,monster,TRUE
lightning,Frankenstein,monster,TRUE
prince,love,princess,TRUE
castle,prince,princess,TRUE
vampire,avalanche,snowman,TRUE
snow,igloo,snowman,TRUE
snowfish,ice,snowman,TRUE
love,sand,beach,TRUE
sodium,sodium chloride,salt,TRUE
sodium chloride,sodium chloride,salt,TRUE
love,sandstorm,desert,TRUE
love,oasis,desert,TRUE
love,Jupiter,Zeus,TRUE
love,thunder,Zeus,TRUE
Jupiter,Frankenstein,Zeus,TRUE
Uranus,Jupiter,Zeus,TRUE
oasis,mirage,desert,TRUE
pirate,wish,genie,TRUE
dragon,djinn,genie,TRUE
djinn,djinn,genie,TRUE
djinn,wish,genie,TRUE
lamp,wish,genie,TRUE
siren,lamp,genie,TRUE
smoke,djinn,genie,TRUE
planet,candy,Mars,TRUE
wormhole,wormhole,black hole,TRUE
supernova,universe,black hole,TRUE
eclipse,darkness,black hole,TRUE
darkness,dark matter,black hole,TRUE
dark matter,dark matter,black hole,TRUE
tsunami,universe,black hole,TRUE
pirate,sea serpent,kraken,TRUE
leviathan,sea serpent,kraken,TRUE
squid,leviathan,kraken,TRUE
sea dragon,leviathan,kraken,TRUE
cuttlefish,squid,kraken,TRUE
leviathan,megalodon,kraken,TRUE
squid,octopus,kraken,TRUE
leviathan,Poseidon,kraken,TRUE
love,mud,baby,TRUE
dwarf,sun,gold,TRUE
Big Bang,destruction,universe,TRUE
Big Bang,earth,universe,TRUE
supernova,Big Bang,universe,TRUE
black hole,Big Bang,universe,TRUE
solar system,Big Bang,universe,TRUE
tsunami,Big Bang,universe,TRUE
house,prince,castle,TRUE
palace,house,castle,TRUE
palace,mansion,castle,TRUE
palace,palace,castle,TRUE
mansion,mansion,castle,TRUE
fence,wall,prison,TRUE
reef,atoll,island,TRUE
atoll,atoll,island,TRUE
pencil,drawing,art,TRUE
paper,drawing,art,TRUE
liberty,liberty,freedom,TRUE
ammonite,amber,fossil,TRUE
meteorite,fishbone,fossil,TRUE
ammonite,ammonite,fossil,TRUE
fishbone,dinosaur,fossil,TRUE
fire,David,phoenix,TRUE
enlightenment,fire,phoenix,TRUE
coral flytrap,mermaid,coral,TRUE
bank,bank,river,TRUE
hangover,alcohol,cure,TRUE
hangover,tea,cure,TRUE
hangover,fruit,cure,TRUE
wine,hangover,cure,TRUE
Titanic,sinking,iceberg,TRUE
penguin,ice,iceberg,TRUE
penguin,Titanic,iceberg,TRUE
vapor,vapor,cloud,TRUE
sky,sky,cloud,TRUE
raisin,water,wine,TRUE
Uranus,moon,Pluto,TRUE
dwarf,planet,Pluto,TRUE
Uranus,planet,Pluto,TRUE
Mars,Uranus,Pluto,TRUE
Saturn,Pluto,Pluto,TRUE
Saturn,storm,hurricane,TRUE
wedding,wedding,wedding,TRUE
dustnado,dust storm,dust storm,TRUE
abominable snowman,fog,yeti,TRUE
abominable snowman,surf,yeti,TRUE
yeti,yeti,yeti,TRUE
abominable snowman,abominable snowman,yeti,TRUE
snowman,abominable snowman,yeti,TRUE
salamander,abominable snowman,yeti,TRUE
love,wedding,marriage,TRUE
Zeus,Zeus,thunder,TRUE
wizard,Zeus,thunder,TRUE
Zeus,lightning,thunder,TRUE
Jupiter,Zeus,thunder,TRUE
vampire,sun,bat,TRUE
vampire,puddle,bat,TRUE
vampire,dust,bat,TRUE
night,vampire,bat,TRUE
darkness,vampire,bat,TRUE
cave,swamp,bat,TRUE
earth,city,wall,TRUE
earth,fence,wall,TRUE
kraken,submarine,squid,TRUE
cuttlefish,alcohol,squid,TRUE
calamari,alcohol,squid,TRUE
calamari,kraken,squid,TRUE
cuttlefish,octopus,squid,TRUE
perfume,kraken,squid,TRUE
calamari,calamari,squid,TRUE
octopus,kraken,squid,TRUE
sushi,calamari,squid,TRUE
perfume,calamari,squid,TRUE
fence,fence,wall,TRUE
alien,meteor,meteorite,TRUE
moon rock,meteor,meteorite,TRUE
sharktopus,lake,shark,TRUE
fossil,megalodon,shark,TRUE
ozymandias,riddle,sphinx,TRUE
genie,djinn,wish,TRUE
lamp,genie,wish,TRUE
bonfire,bonfire,campfire,TRUE
party,bonfire,campfire,TRUE
tree,vampire,wood,TRUE
t-rex,t-rex,t-rex,TRUE
dinosaur,raptor,t-rex,TRUE
moon,unicorn,night,TRUE
darkness,darkness,night,TRUE
Ent,honey,Ent,TRUE
tadpole,frog,frog,TRUE
pond,tadpole,frog,TRUE
Kermit,fire,frog,TRUE
toad,toad,frog,TRUE
tadpole,tadpole,frog,TRUE
prince,apple,Adam,TRUE
temple,worship,religion,TRUE
prayer,worship,religion,TRUE
love,mermaid,Ariel,TRUE
fairy,mermaid,Ariel,TRUE
princess,mermaid,Ariel,TRUE
stoned,plant,weed,TRUE
water,snowfish,ice,TRUE
octopus,flower,Venus,TRUE
love,planet,Venus,TRUE
Ent,sweet,honey,TRUE
hive,bee,honey,TRUE
love,dwarf,dwarf,TRUE
dwarf,dwarf,dwarf,TRUE
town,town,city,TRUE
castle,town,city,TRUE
Zeus,thunder,lightning,TRUE
lily,narcissus,nymph,TRUE
mud,vase,pottery,TRUE
clay,vase,pottery,TRUE
vase,pot,pottery,TRUE
house,vase,pottery,TRUE
fire,ceramic,pottery,TRUE
vase,ceramic,pottery,TRUE
ceramic,ceramic,pottery,TRUE
komodo dragon,komodo dragon,egg,TRUE
house,castle,palace,TRUE
castle,castle,palace,TRUE
castle,mansion,palace,TRUE
Frankenstein,Frankenstein,Frankenstein,TRUE
lightning,monster,Frankenstein,TRUE
sushi,crab,sashimi,TRUE
pirate,sushi,sashimi,TRUE
Kermit,Kermit,Kermit,TRUE
pirate,sea,treasure,TRUE
pirate,boulder,treasure,TRUE
pirate,money,treasure,TRUE
mermaid,pirate,treasure,TRUE
island,atoll,reef,TRUE
dragon,gold,treasure,TRUE
pirate,gold,treasure,TRUE
star,universe,galaxy,TRUE
universe,planet,galaxy,TRUE
hangover,hangover,hangover,TRUE
party,hangover,hangover,TRUE
volcano,geyser,eruption,TRUE
Venus,comet,life,TRUE
muddy wizard,squid,Cthulhu,TRUE
kraken,leviathan,Cthulhu,TRUE
megalodon,kraken,Cthulhu,TRUE
gold,sand,pyramid,TRUE
pottery,coral flytrap,vase,TRUE
pottery,ceramic,vase,TRUE
Mad Hatter,flying fish,fisherman,TRUE
salmon,bridge,fisherman,TRUE
tree,book,paper,TRUE
coral flytrap,venus flytrap,coral flytrap,FALSE
unicorn,rain,rainbow,TRUE
mist,unicorn,rainbow,TRUE
wood,book,paper,TRUE
yeti,fog,abominable snowman,TRUE
salamander,yeti,abominable snowman,TRUE
snowman,yeti,abominable snowman,TRUE
alligator,crocodile,crocodile,TRUE
alligator,coral,crocodile,TRUE
alligator,gold,crocodile,TRUE
alligator,swamp,crocodile,TRUE
dinosaur,alligator,crocodile,TRUE
egg,egg,bird,TRUE
fisherman,pirate,captain,TRUE
monster,Frankenstein,bride,TRUE
wedding,bouquet,bride,TRUE
universe,muddy wine,dirt,TRUE
swamp,Zeus,marsh,TRUE
prince,plant,rose,TRUE
love,plant,rose,TRUE
bouquet,flower,rose,TRUE
love,garden,rose,TRUE
desert,coral flytrap,cactus,TRUE
sharktopus,geothermal,sharktopus,TRUE
sharktopus,tea,sharktopus,TRUE
sharktopus,sun,sharktopus,TRUE
sharktopus,sharktopus,sharktopus,TRUE
sharktopus,shark,sharktopus,TRUE
dragon,sharktopus,sharktopus,TRUE
pirate,pirate,pirate ship,TRUE
kraken,sea serpent,leviathan,TRUE
sea serpent,sea dragon,leviathan,TRUE
kraken,kraken,leviathan,TRUE
sea dragon,kraken,leviathan,TRUE
honey,sweet,candy,TRUE
enlightenment,lotus,Buddha,TRUE
love,dust,fairy,TRUE
love,wizard,cupid,TRUE
love,nymph,cupid,TRUE
Venus,love,cupid,TRUE
love,angel,cupid,TRUE
ship,boat,cruise,TRUE
cyclone,sharktopus,sharknado,TRUE
ceramic,brick,tile,TRUE
salmon,salamander,salamander,TRUE
Saturn,red spot,Titan,TRUE
Saturn,hurricane,Titan,TRUE
Mars,Saturn,Uranus,TRUE
Venus,Saturn,Titan,TRUE
dark,night,darkness,TRUE
dark,dark,darkness,TRUE
New York,New York,New York,TRUE
longboat,longboat,ship,TRUE
boat,boat,ship,TRUE
crab,pond,crab,TRUE
smoker,cigarette,cancer,TRUE
swamp,Loch Ness monster,Nessie,TRUE
liberty,statue,Statue of Liberty,TRUE
park,forest,camping,TRUE
Big Bang,Big Bang,Big Bang,TRUE
black hole,universe,Big Bang,TRUE
vampire,eclipse,twilight,TRUE
vampire,love,twilight,TRUE
paradise,paradise,heaven,TRUE
wormhole,black hole,time travel,TRUE
space station,moon,alien,TRUE
vampire,water,blood,TRUE
genie,rich,rich,TRUE
money,gold,rich,TRUE
money,bank,rich,TRUE
wedding,bonfire,honeymoon,TRUE
love,beach,honeymoon,TRUE
pyramid,honey,mummy,TRUE
love,golem,golem,TRUE
earth,robot,golem,TRUE
love,desert,oasis,TRUE
mirage,mirage,oasis,TRUE
desert,mirage,oasis,TRUE
triton,triton,triton,TRUE
Uranus,Saturn,Neptune,TRUE
love,wind,heart,TRUE
love,dragon,heart,TRUE
love,star,heart,TRUE
love,stone,heart,TRUE
love,tree,heart,TRUE
love,love,heart,TRUE
blood,blood,heart,TRUE
Poseidon,kraken,triton,TRUE
muddy wizard,muddy wizard,muddy wizard,FALSE
muddy wizard,wizard,muddy wizard,FALSE
love,earth,garden,TRUE
snowpocalypse,snowpocalypse,blizzard,TRUE
cigar,statue,Lincoln,TRUE
pirate,genie,Captain Hook,TRUE
Poseidon,unicorn,narwhal,TRUE
unicorn,mermaid,narwhal,TRUE
coral,coral flytrap,coral reef,TRUE
Pluto,unicorn,narwhal,TRUE
mosquito,blood,malaria,TRUE
rose,alcohol,perfume,TRUE
cologne,alcohol,perfume,TRUE
scent,fragrance,perfume,TRUE
fragrance,fragrance,perfume,TRUE
garden,park,zoo,TRUE
moon,moonwalk,Michael Jackson,TRUE
mangrove swamp,mangrove forest,mangrove,TRUE
mangrove swamp,mangrove,mangrove,TRUE
crayon,colored pencil,pencil,TRUE
dice,meteor,asteroid,TRUE
comet,meteor,asteroid,TRUE
pollen,honey,bee,TRUE
flower,honey,bee,TRUE
fossil,honey,amber,TRUE
Frankenstein,Zeus,Thor,TRUE
hay fever,pollen,sneeze,TRUE
allergy,hay fever,sneeze,TRUE
cinder,prince,Cinderella,TRUE
princess,ash,Cinderella,TRUE
igloo,pond,penguin,TRUE
penguin,penguin,penguin,TRUE
penguin,pond,penguin,TRUE
penguin,wall,penguin,TRUE
penguin,fish,penguin,TRUE
fjord,longboat,Viking,TRUE
longboat,ship,Viking,TRUE
worship,worship,temple,TRUE
salt,cow,cured meat,TRUE
angel,saint,archangel,TRUE
city,city,metropolis,TRUE
castle,city,metropolis,TRUE
town,city,metropolis,TRUE
fisherman,fish,fishing,TRUE
Loch Ness monster,Loch Ness monster,Loch Ness monster,TRUE
Nessie,monster,Loch Ness monster,TRUE
Loch Ness monster,Nessie,Loch Ness monster,TRUE
monster,Loch Ness monster,Loch Ness monster,TRUE
New York,Statue of Liberty,America,TRUE
nose,Moses,Moses,TRUE
gold,pyramid,pharaoh,TRUE
fireworks,boom,explosion,TRUE
love,atlantis,Aphrodite,TRUE
vase,vase,pot,TRUE
earth,vase,pot,TRUE
party,campfire,s'mores,TRUE
engineer,troll,bridge,TRUE
enlightenment,enlightenment,enlightenment,TRUE
aquarium,hive,beehive,TRUE
hive,hive,beehive,TRUE
salt,sodium chloride,sodium,TRUE
pottery,vase,ceramic,TRUE
rainy,dandelion,wet,TRUE
cuttlefish,dandelion patch,cuttlefish,TRUE
cuttlefish,cuttlefish,cuttlefish,TRUE
unicorn,saint,pegasus,TRUE
squid,kraken,calamari,TRUE
kraken,sushi,calamari,TRUE
love,Titanic,Jack,TRUE
Titanic,rose,Jack,TRUE
magic,magic,spell,TRUE
magic,wizard,spell,TRUE
wizard,warlock,witch,TRUE
cow,cow,bull,TRUE
love,sun,summer,TRUE
cave,cave,cave,TRUE
ash,burn,cinder,TRUE
dark,darkness,black,TRUE
house,Frankenstein,haunted house,TRUE
garage,engine,car,TRUE
rose,flower,bouquet,TRUE
flower,wedding,bouquet,TRUE
vase,rose,bouquet,TRUE
flower,vase,bouquet,TRUE
Zeus,love,Hercules,TRUE
hay fever,sneeze,allergy,TRUE
engineer,engineer,engineer,TRUE
Viking,longboat,Viking ship,TRUE
apple tree,apple tree,apple orchard,TRUE
boom,boom,bomb,TRUE
siren,narcissus,narcissus,TRUE
soda,soda,soda,TRUE
salt lick,cow,milk,TRUE
sushi,maki,roll,TRUE
meteor shower,acid rain,acid rain,TRUE
rain,acid rain,acid,TRUE
acid rain,acid rain,acid rain,TRUE
monster,dust,dust bunny,TRUE
leviathan,leviathan,sea monster,TRUE
dragon,Loch Ness monster,sea monster,TRUE
flood,Moses,ark,TRUE
love,swamp,romance,TRUE
love,rose,romance,TRUE
Hawaiian Islands,continent,Hawaii,TRUE
Hawaii,Hawaiian Islands,Hawaii,TRUE
archipelago,Hawaiian Islands,Hawaii,TRUE
octopus,octopus,octopus,TRUE
sea dragon,sea dragon,sea dragon,TRUE
ammonite,fossil,ammonite,TRUE
squid,ammonite,ammonite,TRUE
campfire,campfire,bonfire,TRUE
lamp,lamp,street lamp,TRUE
fire,campfire,bonfire,TRUE
candy,fish,sweet,TRUE
rocket,alien,UFO,TRUE
space ship,alien,UFO,TRUE
alien,alien,UFO,TRUE
space station,alien,UFO,TRUE
moon,alien,UFO,TRUE
black hole,darkness,dark matter,TRUE
shark,leviathan,megalodon,TRUE
shark,megalodon,megalodon,TRUE
megalodon,megalodon,megalodon,TRUE
monster,dragon,hydra,TRUE
kraken,Titanic,sinking,TRUE
sinking,sinking,sinking,TRUE
pirate,engine,steamboat,TRUE
t-rex,tea storm,tea-rex,FALSE
cider,apple,vinegar,TRUE
cider,wine,brandy,TRUE
cider,cider,apple juice,TRUE
seraph,angel,cherub,TRUE
drawing,drawing,painting,TRUE
snowstorm,snowpocalypse,snowpocalypse,TRUE
nymph,narcissus,echo,TRUE
sodium,soda,pop,TRUE
money,banknote,counterfeit,TRUE
paper,book,library,TRUE
wedding,disaster,bridezilla,TRUE
coral flytrap,vase,coral vase,TRUE
igloo,house,igloo,TRUE
lake,monster,Loch Ness,TRUE
fisherman,planet,Aquaman,TRUE
vampire,wood,stake,TRUE
bong,smoke,high,TRUE
palace,castle,kingdom,TRUE
komodo dragon,egg,lizard,TRUE
tea,yeti,chai,TRUE
steam engine,steam phoenix,steam engine,TRUE
steam whale,steam golem,steam engine,TRUE
sword,sword,longsword,TRUE
space station,space station,space station,TRUE
mountain,cave,mine,TRUE
Ent,wizard,Treebeard,TRUE
Ent,Ariel,Treebeard,TRUE
nymph,fairy,dryad,TRUE
flower,stoned,bong,TRUE
frog,prince,kiss,TRUE
sharktopus,sharknado,sharktopusnado,FALSE
love,Mars,Valentine,TRUE
love,Saturn,Valentine,TRUE
love,Pluto,Valentine,TRUE
Pangaea,supercontinent,Pangaea,TRUE
Hawaiian Islands,Hawaiian Islands,Hawaiian Islands,TRUE
supercontinent,supercontinent,Pangaea,TRUE
explosion,boom,boom,TRUE
money,rich,richer,TRUE
rich,rich,richer,TRUE
riddle,riddle,mystery,TRUE
snowfish,fish,icefish,TRUE
yin yang,universe,Tao,TRUE
pencil,colored pencil,crayon,TRUE
colored pencil,colored pencil,crayon,TRUE
honey,honey,honeycomb,TRUE
blizzard,snowpocalypse,snowmageddon,TRUE
ash,soda,coca-cola,TRUE
candy,salt,caramel,TRUE
fish,universe,Pisces,TRUE
book,book,bookshelf,TRUE
banknote,banknote,banknote,TRUE
honey,bee,honeycomb,TRUE
party,honey,honeycomb,TRUE
hay fever,hay fever,hay,TRUE
castle,wall,fortress,TRUE
apple,apple tree,apple pie,TRUE
dragon,t-rex,dragon-rex,FALSE
love,fairy,Tinkerbell,TRUE
atlantis,Kermit,muppet,TRUE
Kermit,frog,muppet,TRUE
Kermit,boiling frog,Kermit the Frog,TRUE
yeti,surf,snowboard,TRUE
swampasaurus,swampasaurus,swampasaurus,TRUE
swampasaurus,swamp,swampasaurus,TRUE
swampasaurus,dinosaur,swampasaurus,TRUE
calamari,squid,Squidward,TRUE
Amazon,earth,rainforest,TRUE
jungle,Amazon,Tarzan,TRUE
venus flytrap,Audrey II,Little Shop Of Horrors,TRUE
carnivorous plant,Audrey II,Little Shop Of Horrors,TRUE
robot,robot,robot,TRUE
gold,rich,Midas,TRUE
love,moon,lunatic,TRUE
vampire,snowman,frostbite,TRUE
party,fairy,birthday,TRUE
princess,prince,royalty,TRUE
weed,bong,stoner,TRUE
pot,bong,stoner,TRUE
Mad Hatter,lighthouse,Cheshire Cat,TRUE
Moses,statue,commandments,TRUE
Moses,mountain,commandments,TRUE
steampunk,robot,steam robot,TRUE
phoenix,David,Goliath,TRUE
David,engineer,Goliath,TRUE
raisin,sun,raisin,TRUE
weed,stoned,stoned,TRUE
flock,flock,herd,TRUE
swarm,flock,herd,TRUE
universe,solar system,multiverse,TRUE
galaxy,universe,cosmos,TRUE
universe,universe,multiverse,TRUE
wedding,swamp,swamping,TRUE
sphinx,riddle,Oedipus,TRUE
dragon egg,sea dragon,sea dragon egg,TRUE
egg,dragon,baby dragon,TRUE
wizard tower,wizard,wizard tower,TRUE
wizard tower,wizard tower,wizard tower,TRUE
rainbow,unicorn,double rainbow,TRUE
pirate,submarine,Captain Nemo,TRUE
Titanic,dice,sink,TRUE
Poseidon,Zeus,trident,TRUE
dragon,leviathan,Tiamat,TRUE
Uranus,Pluto,plutonium,TRUE
steam engine,steam forest,steam train,TRUE
brontosaurus,brontosaurus,brontosaurus,TRUE
dinosaur,brontosaurus,brontosaurus,TRUE
narwhal,unicorn,narwhalicorn,FALSE
perfume,fragrance,scent,TRUE
moonwalk,moonwalk,moonwalk,TRUE
gold,gold,gold bar,TRUE
mangrove swamp,mangrove swamp,mangrove forest,TRUE
cider,hangover,headache,TRUE
smell,vampire,garlic,TRUE
crab,fisherman,crabstick,TRUE
angel,soul,spirit,TRUE
soul,soul,spirit,TRUE
dark matter,black hole,dark energy,TRUE
Pluto,Mickey Mouse,Disney,TRUE
dinosaur,egg,baby dinosaur,TRUE
werewolf,prince,wolfman,TRUE
oasis,palace,mirage,TRUE
party,wedding,reception,TRUE
rice field,rice field,rice paddy,TRUE
Moses,sushi,mosesushi,FALSE
fisherman,flying fish,Flying Fisherman,FALSE
candy,sweet,sugar,TRUE
sushi,Kermit,frog sushi,FALSE
swamp,muddy wizard,bog wizard,FALSE
monk,Buddha,monastery,TRUE
monk,monk,monastery,TRUE
steam whale,steam whale,steam whale,TRUE
love,fire,passion,TRUE
penguin,dragon,pengdra,FALSE
Buddha,enlightenment,nirvana,TRUE
narcissus,narcissus,daffodil,TRUE
bouquet,coral flytrap,coral bouquet,FALSE
dwarf,black hole,black dwarf,TRUE
fish,aquarium,fish tank,TRUE
island,New York,Manhattan,TRUE
Audrey II,Audrey II,Audrey Iii,FALSE
yeti,tree,pinecone,TRUE
Pinocchio,candy,lollipop,TRUE
wood,crab,hermit crab,TRUE
crab,crab,crab king,TRUE
candy,candy,lollipop,TRUE
dice,asteroid,risk,TRUE
Mickey Mouse,Mickey Mouse,Minnie Mouse,TRUE
honey,amber,mead,TRUE
spring break,spring break,spring break,TRUE
amber,kraken,ambergris,TRUE
Pinocchio,wish,real boy,TRUE
Pinocchio,campfire,puppet,TRUE
frog,coral flytrap,coral frog,TRUE
dinosaur,cuttlefish,cuttlefishosaurus,TRUE
dragon,muddy wizard,muddy dragon,FALSE
muddy wizard,monk,muddy monk,FALSE
raptor,party,rapture,TRUE
engineer,bridge,architect,TRUE
apple,raisin,baked apple,TRUE
sand,candy,sandy,TRUE
statue,David,Michelangelo,TRUE
fire,boiling frog,soup,TRUE
sinking,swamp,quicksand,TRUE
dust,fairy,pixie,TRUE
ice,igloo,eskimo,TRUE
snowman,igloo,snow house,TRUE
darkness,night,dark night,TRUE
nose,Pinocchio,long,TRUE
abominable snowman,yeti,abominable yeti,FALSE
hot spring,sauna,spa,TRUE
rice field,rice,farmer,TRUE
phoenix,egg,[not],FALSE
troll,warlock,[not],FALSE
honey,money,[not],FALSE
house,cave,[not],FALSE
Valentine,water,love,TRUE
cruise,honeymoon,love,TRUE
cupid,heart,love,TRUE
queen,king,love,TRUE
kiss,kiss,love,TRUE
romance,romance,love,TRUE
art,heart,love,TRUE
tile,heart,love,TRUE
wind,heart,love,TRUE
human,cupid,love,TRUE
tree,heart,love,TRUE
beach,honeymoon,love,TRUE
Hercules,Aphrodite,love,TRUE
stone,heart,love,TRUE
vampire,cure,human,TRUE
sneeze,hay,fire,TRUE
Neptune,Pluto,planet,TRUE
universe,dirt,planet,TRUE
Dracula,prince,vampire,TRUE
Dracula,werewolf,vampire,TRUE
Dracula,fire,vampire,TRUE
bat,sun,vampire,TRUE
bat,water,vampire,TRUE
Dracula,earth,vampire,TRUE
twilight,princess,vampire,TRUE
eclipse,twilight,vampire,TRUE
Dracula,shark,vampire,TRUE
bat,Ent,vampire,TRUE
Dracula,king,vampire,TRUE
darkness,bat,vampire,TRUE
bat,Dracula,vampire,TRUE
Dracula,Dracula,vampire,TRUE
Hercules,Dracula,vampire,TRUE
Dracula,twilight,vampire,TRUE
love,twilight,vampire,TRUE
dragon,Dracula,vampire,TRUE
mermaid,Dracula,vampire,TRUE
werewolf,cure,vampire,TRUE
queen,werewolf,vampire,TRUE
princess,Dracula,vampire,TRUE
puddle,bat,vampire,TRUE
Dracula,stake,vampire,TRUE
queen,Dracula,vampire,TRUE
castle,Dracula,vampire,TRUE
smell,garlic,vampire,TRUE
obsidian,Dracula,vampire,TRUE
hangover,Dracula,vampire,TRUE
bat,human,vampire,TRUE
monster,human,vampire,TRUE
human,night,vampire,TRUE
human,Dracula,vampire,TRUE
dust,bat,vampire,TRUE
twilight,werewolf,vampire,TRUE
cigarette,Dracula,vampire,TRUE
monster,Dracula,vampire,TRUE
frostbite,Dracula,vampire,TRUE
Dracula,blood,vampire,TRUE
hot spring,Dracula,vampire,TRUE
night,bat,vampire,TRUE
Adam,Dracula,vampire,TRUE
ring,fire,dragon,TRUE
baby dragon,baby dragon,dragon,TRUE
egg,baby dragon,dragon,TRUE
dragon,baby dragon,dragon,TRUE
monster,hydra,dragon,TRUE
Neptune,Neptune,ocean,TRUE
Neptune,Titan,ocean,TRUE
dirt,night,moon,TRUE
moonwalk,Michael Jackson,moon,TRUE
quagmire,god,swamp,TRUE
river,plant,swamp,TRUE
ring,Saturn,Lord of the Rings,TRUE
ring,god,Lord of the Rings,TRUE
ring,king,Lord of the Rings,TRUE
Pisces,sun,fish,TRUE
universe,Pisces,fish,TRUE
cyclone,steamboat,tornado,TRUE
Cthulhu,thunderstorm,tornado,TRUE
ring,cyclone,tornado,TRUE
ring,tornado,tornado,TRUE
ring,storm,tornado,TRUE
Cthulhu,tornado,tornado,TRUE
river,fire,volcano,TRUE
Aphrodite,Poseidon,mermaid,TRUE
human,siren,mermaid,TRUE
river,siren,mermaid,TRUE
dryad,water,tree,TRUE
Ent,queen,tree,TRUE
king,Ent,tree,TRUE
river,forest,tree,TRUE
dryad,forest,tree,TRUE
river,river,lake,TRUE
dust bunny,water,dust,TRUE
dust bunny,sun,dust,TRUE
stake,vampire,dust,TRUE
royalty,castle,king,TRUE
Cthulhu,royalty,king,TRUE
queen,queen,king,TRUE
queen,prince,king,TRUE
castle,queen,king,TRUE
kingdom,castle,king,TRUE
palace,queen,king,TRUE
rich,human,king,TRUE
prince,royalty,king,TRUE
ring,hurricane,storm,TRUE
mosesushi,obsidian,sushi,TRUE
crabstick,apple,sushi,TRUE
crab,crabstick,sushi,TRUE
vampire,Hercules,Dracula,TRUE
bat,vampire,Dracula,TRUE
queen,vampire,Dracula,TRUE
king,vampire,Dracula,TRUE
vampire,frostbite,Dracula,TRUE
human,vampire,Dracula,TRUE
vampire,Adam,Dracula,TRUE
magic,spell,wizard,TRUE
spell,human,wizard,TRUE
steam robot,robot,steam,TRUE
cinder,Cinderella,ash,TRUE
bat,Kermit,Batman,TRUE
bat,bat,Batman,TRUE
ocean,god,Poseidon,TRUE
beach,god,Poseidon,TRUE
fisherman,Aquaman,Poseidon,TRUE
Zeus,trident,Poseidon,TRUE
atlantis,Aphrodite,Poseidon,TRUE
Venus,Neptune,Poseidon,TRUE
Neptune,ocean,Poseidon,TRUE
dryad,tree,forest,TRUE
angel,archangel,god,TRUE
god,god,god,TRUE
heaven,angel,god,TRUE
apple tree,apple pie,apple,TRUE
apple tree,apple orchard,apple,TRUE
apple juice,cider,apple,TRUE
wall,tile,house,TRUE
fairy,birthday,party,TRUE
reception,reception,party,TRUE
commandments,t-rex,dinosaur,TRUE
